"Emails","Como você avalia a sua experiência na tela de Personalização de Ofertas?","","","","","Qual o motivo da sua nota?","Timestamp","URL","Country","Device","OS","Browser","Visitor Attributes"
"","Muito Insatisfeito","Insatisfeito","Neutro","Satisfeito","Muito Satisfeito","",""
"n/a","","Y","","","","","24/09/24 11:24","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/XBS1Ds_pe5+OxInW4qdVng/6/14/1","Brazil","Other","Windows","Chrome",""""""
"n/a","Y","","","","","","24/09/24 11:23","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/TQhmqgEhNwhF5BBVzjjKUA/2/1/1","","","","",""""""
"n/a","Y","","","","","satisfeito","24/09/24 11:23","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/d0SRe_lz41O1r39CCAWelQ/1/0/1","","","","",""""""
"n/a","","","Y","","","","24/09/24 11:23","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/8GfuBRjS4j713YRZeMyRmQ/3/3/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 11:23","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/ofertas/jUCacmfhEo+s1O9_029zGg/1","Brazil","Other","Windows","Chrome",""""""
"n/a","Y","","","","","","24/09/24 11:22","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/+5VjHiiI2khSha7xGqRMvw/1/1/1","","","","",""""""
"n/a","","","Y","","","","24/09/24 11:22","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/ol52l56DgG1CdLYwGZJ_KQ/6/7/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","","Y","","24/09/24 11:22","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/eLKSDtSh5apLqbNN0DhApw/1/2/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","Y","","","","","24/09/24 11:22","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/U8KO1aWxB790NwOCrl7hVQ/1/1/1","Brazil","Other","Windows","Chrome",""""""
"n/a","Y","","","","","","24/09/24 11:21","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/+zuE6lTwExuMlVk0RqpYJA/1/1/1","","","","",""""""
"n/a","","","Y","","","automatização lenta","24/09/24 11:21","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/JxCFb8N2AJUwQLxWG_b23Q/7/0/1","","","","",""""""
"n/a","","","Y","","","","24/09/24 11:21","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/pCh0TLZlcNT0ZhxLGb+zRQ/1/2/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","Y","","","24/09/24 11:20","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/G0bDurm51znYYhSmPJwZTQ/5/0/1","","","","",""""""
"n/a","","","","","Y","SO PIORA O SISTEMA","24/09/24 11:20","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/_PxiDH5zDJBVqi0oqTkTbg/2/1/1","","","","",""""""
"n/a","","","","","Y","muito bom ","24/09/24 11:20","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/ofertas/0Ur4Dhdz3gfePwRrASzMiA/0","","","","",""""""
"n/a","","","","Y","","","24/09/24 11:20","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/n2hjdui3TABYkXOat9SyaA/1/0/1","","","","",""""""
"n/a","","","","","Y","","24/09/24 11:18","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/BXtaCnOr9+DHNzhlQG_I3w/2/0/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 11:18","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/+nAM4kuAqL3mA3T211KzXQ/1/2/1","Brazil","Other","Windows","Chrome",""""""
"n/a","Y","","","","","","24/09/24 11:17","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/+cxqX2QVDwUxj8OgnwHsBA/1/9/1","","","","",""""""
"n/a","Y","","","","","ATENDIMENTO","24/09/24 11:17","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/z2b4XLE8cXJSG4DrRPKU+Q/9/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","Y","","","","","se precisas e PORTO","24/09/24 11:17","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/j1AfgO+hwYnFH4nZXBPC2A/3/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","Y","","","","","","24/09/24 11:17","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/rruJRWfRgufD+56+BanK5Q/1/1/1","","","","",""""""
"n/a","","","Y","","","","24/09/24 11:17","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/AF1BuwwI2GB26f4nmra9jA/2/1/1","","","","",""""""
"n/a","","","","Y","","achei bom","24/09/24 11:16","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/UyAWZ7g04DttLvDNGjk2Sg/1/1/1","Brazil","Other","Windows","Chrome",""""""
